source	target	link	justification
Cs	ConceptWiki	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
Cs	ConceptWiki	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
go/GO:	ConceptWiki	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/SIO_001171
S	ConceptWiki	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/SIO_010043
Wp	ConceptWiki	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/SIO_001107
drugbankTarget	ConceptWiki	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/SIO_010043
AERS	drugbankDrugs	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
Chebi	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
Cs	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
Chembl16Molecule	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
Cs	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
drugbankDrugs	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
Cs	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
Ch	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
Cs	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
MSH	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
Cs	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
MSH	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
Cs	OPS-CRS	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/CHEMINF_000059
Chembl16TargetComponent	Chembl16Target	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_010043
S	Chembl16TargetComponent	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/SIO_010043
hgnc.symbol	Hac	http://www.w3.org/2004/02/skos/core#exactMatch	http://semanticscience.org/resource/SIO_001171
Ena	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
L	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_010035
Hac	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_010035
Ip	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_000985
_MEROPS	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Pd	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_000985
Rf	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Q	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Q	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Q	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Q	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Q	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Q	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
_UniParc	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_000985
S	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_000985
Mb	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Em	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_000985
Ena	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
L	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_010035
_MEROPS	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Pd	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_000985
Q	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Q	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Q	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
_UniParc	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_000985
S	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_000985
Em	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_000985
Ena	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
L	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_010035
Hac	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_010035
_MEROPS	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_001171
Pd	En	http://www.w3.org/2004/02/skos/core#relatedMatch	http://semanticscience.org/resource/SIO_000985
